,idAmazon,idGoogleBase
0,b00004tkvy,http://www.google.com/base/feeds/snippets/18441110047404795849
1,b000g80lqo,http://www.google.com/base/feeds/snippets/18441188461196475272
2,b0006se5bq,http://www.google.com/base/feeds/snippets/18428750969726461849
3,b00021xhzw,http://www.google.com/base/feeds/snippets/18430621475529168165
4,b0007prnjo,http://www.google.com/base/feeds/snippets/18434733520229761009
5,b000in6u62,http://www.google.com/base/feeds/snippets/18434616791723899127
6,b00006hvvo,http://www.google.com/base/feeds/snippets/3409784122469217433
7,b00006hvvo,http://www.google.com/base/feeds/snippets/9687887699930800156
8,b0000ycfcw,http://www.google.com/base/feeds/snippets/321181551780335576
9,b000bcz8ng,http://www.google.com/base/feeds/snippets/3077454195131808819
10,b000fm18vi,http://www.google.com/base/feeds/snippets/3620383930983735395
11,b00009apna,http://www.google.com/base/feeds/snippets/3435680088823178198
12,b0009rgzgm,http://www.google.com/base/feeds/snippets/1883379429602083103
13,b000ap2wyw,http://www.google.com/base/feeds/snippets/2622452102774676117
14,b0009jlux8,http://www.google.com/base/feeds/snippets/4923451909983851979
15,b000cszg2m,http://www.google.com/base/feeds/snippets/5032391174084349054
16,b00023azve,http://www.google.com/base/feeds/snippets/4949402291543451335
17,b000ndicuy,http://www.google.com/base/feeds/snippets/2263647849333008264
18,b0000ycfdq,http://www.google.com/base/feeds/snippets/4188176128903497851
19,b0007yepy6,http://www.google.com/base/feeds/snippets/4783370532123880956
20,b000cpmtwk,http://www.google.com/base/feeds/snippets/1417708435719198149
21,b0002qnd2y,http://www.google.com/base/feeds/snippets/975032998818002648
22,b0009h9q1i,http://www.google.com/base/feeds/snippets/5665024204886410
23,b000cqyclu,http://www.google.com/base/feeds/snippets/1695089910833084773
24,b0001db6i6,http://www.google.com/base/feeds/snippets/12904825904608701558
25,b000h22rbg,http://www.google.com/base/feeds/snippets/10500380486679990055
26,b000bezsyi,http://www.google.com/base/feeds/snippets/10911853136488554482
27,b0001bg5gq,http://www.google.com/base/feeds/snippets/11618158047568311763
28,b000ivhozk,http://www.google.com/base/feeds/snippets/12543046747030237240
29,b000buqo9a,http://www.google.com/base/feeds/snippets/12604725900103506627
30,b00032heya,http://www.google.com/base/feeds/snippets/6195321262763979528
31,b000butd6q,http://www.google.com/base/feeds/snippets/6990565128537638388
32,b00032hexq,http://www.google.com/base/feeds/snippets/6856336028258284106
33,b000b6vlh4,http://www.google.com/base/feeds/snippets/10993073455692001778
34,b0009i9tqy,http://www.google.com/base/feeds/snippets/8804538687114603592
35,b00024yohy,http://www.google.com/base/feeds/snippets/9205821354688722990
36,b00020633g,http://www.google.com/base/feeds/snippets/5720091777255380975
37,b000cbqbby,http://www.google.com/base/feeds/snippets/5968511357343083164
38,b0002x1omi,http://www.google.com/base/feeds/snippets/7039940734695244235
39,b0009stm6g,http://www.google.com/base/feeds/snippets/7117788517647646539
40,b0000ycfe0,http://www.google.com/base/feeds/snippets/8175198959985911471
41,b00006j02n,http://www.google.com/base/feeds/snippets/18268949289189904876
42,b0000aka82,http://www.google.com/base/feeds/snippets/15883771067913561390
43,b0009ren8e,http://www.google.com/base/feeds/snippets/18152695793777845265
44,b000a3x6te,http://www.google.com/base/feeds/snippets/16407653863068941558
45,b000bnb72g,http://www.google.com/base/feeds/snippets/17010841797296818807
46,b000ap422c,http://www.google.com/base/feeds/snippets/15918748426604243470
47,b000098xjo,http://www.google.com/base/feeds/snippets/16361312648941715869
48,b000314vvu,http://www.google.com/base/feeds/snippets/18384366678790095384
49,b000fa5ens,http://www.google.com/base/feeds/snippets/18384136689746651786
50,b0002e3g6o,http://www.google.com/base/feeds/snippets/18384557845547191313
51,b000099sin,http://www.google.com/base/feeds/snippets/18383594456090582739
52,b000hj9r3u,http://www.google.com/base/feeds/snippets/18422892267475594445
53,b0007yll20,http://www.google.com/base/feeds/snippets/18425596514092797479
54,b0007yll20,http://www.google.com/base/feeds/snippets/18431066094306345892
55,b000162zp6,http://www.google.com/base/feeds/snippets/18423412970630780827
56,b000i84dsy,http://www.google.com/base/feeds/snippets/18427191929555331953
57,b000gaoo7y,http://www.google.com/base/feeds/snippets/18384280629938052082
58,b00008ajjc,http://www.google.com/base/feeds/snippets/18424464601572004274
59,b000jj4fbw,http://www.google.com/base/feeds/snippets/18427202789383020961
60,b000kmcf0g,http://www.google.com/base/feeds/snippets/18420491833696681736
61,b000ozibhk,http://www.google.com/base/feeds/snippets/18418631443367666576
62,b000h774k0,http://www.google.com/base/feeds/snippets/18419564278412211145
63,b000162zq0,http://www.google.com/base/feeds/snippets/18424247759201075212
64,b0006g2wke,http://www.google.com/base/feeds/snippets/18422068306669698354
65,b000qs8n64,http://www.google.com/base/feeds/snippets/18422266773656246362
66,b000cpshfs,http://www.google.com/base/feeds/snippets/18422327928504968692
67,b000ehq008,http://www.google.com/base/feeds/snippets/18415416380788323186
68,b000brgbpa,http://www.google.com/base/feeds/snippets/18413484739795948632
69,b0000c6fjm,http://www.google.com/base/feeds/snippets/18413075895200367717
70,b00005yx8i,http://www.google.com/base/feeds/snippets/18417819850768172148
71,b000hkgj8k,http://www.google.com/base/feeds/snippets/18417354130985846422
72,b0002719lk,http://www.google.com/base/feeds/snippets/18416093365515680633
73,b00006h38u,http://www.google.com/base/feeds/snippets/18406000514365649458
74,b000lu8a10,http://www.google.com/base/feeds/snippets/18406653450238248367
75,b0006oei8u,http://www.google.com/base/feeds/snippets/18409822956112890125
76,b000p9cr34,http://www.google.com/base/feeds/snippets/18421148872586071492
